game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium
2026_01_NE_SEA,2026,REG,1,2026-09-09,Wednesday,20:20,NE,,SEA,,Home,,,,2026090900,,,202609090sea,,401872656,,7,7,142,-170,3,-102,-118,44.5,-112,-108,0,outdoors,fieldturf,,,00-0039851,00-0034869,Drake Maye,Sam Darnold,Mike Vrabel,Mike Macdonald,,SEA00,Lumen Field
2026_01_SF_LA,2026,REG,1,2026-09-10,Thursday,20:35,SF,,LA,,Neutral,,,,2026091000,,,202609100ram,,401872657,,7,7,160,-192,3.5,-108,-112,48.5,-115,-105,1,dome,matrixturf,,,00-0037834,00-0026498,Brock Purdy,Matthew Stafford,Kyle Shanahan,Sean McVay,,MEL00,Melbourne Cricket Ground
2026_01_CHI_CAR,2026,REG,1,2026-09-13,Sunday,13:00,CHI,,CAR,,Home,,,,2026091300,,,202609130car,,401872661,,7,7,-155,130,-3,-102,-118,47.5,-108,-112,0,outdoors,grass,,,00-0039918,00-0039150,Caleb Williams,Bryce Young,Ben Johnson,Dave Canales,,CAR00,Bank of America Stadium
2026_01_TB_CIN,2026,REG,1,2026-09-13,Sunday,13:00,TB,,CIN,,Home,,,,2026091301,,,202609130cin,,401872925,,7,7,170,-205,3.5,-105,-115,50.5,-112,-108,0,outdoors,fieldturf,,,00-0034855,00-0036442,Baker Mayfield,Joe Burrow,Todd Bowles,Zac Taylor,,CIN00,Paycor Stadium
2026_01_NO_DET,2026,REG,1,2026-09-13,Sunday,13:00,NO,,DET,,Home,,,,2026091302,,,202609130det,,401872923,,7,7,245,-305,7,-115,-105,49.5,-102,-118,0,dome,fieldturf,,,00-0040743,00-0033106,Tyler Shough,Jared Goff,Kellen Moore,Dan Campbell,,DET00,Ford Field
2026_01_BUF_HOU,2026,REG,1,2026-09-13,Sunday,13:00,BUF,,HOU,,Home,,,,2026091303,,,202609130htx,,401872660,,7,7,-115,-105,-1.5,-102,-118,44.5,-110,-110,0,"",astroturf,,,00-0034857,00-0039163,Josh Allen,C.J. Stroud,Sean McDermott,DeMeco Ryans,,HOU00,Reliant Stadium
2026_01_BAL_IND,2026,REG,1,2026-09-13,Sunday,13:00,BAL,,IND,,Home,,,,2026091304,,,202609130clt,,401872659,,7,7,-175,145,-3.5,-105,-115,47.5,-105,-115,0,"",fieldturf,,,00-0034796,00-0035710,Lamar Jackson,Daniel Jones,Jesse Minter,Shane Steichen,,IND00,Lucas Oil Stadium
2026_01_CLE_JAX,2026,REG,1,2026-09-13,Sunday,13:00,CLE,,JAX,,Home,,,,2026091305,,,202609130jax,,401872922,,7,7,340,-440,8.5,-112,-108,40.5,-110,-110,0,outdoors,grass,,,00-0033537,00-0036971,Deshaun Watson,Trevor Lawrence,Todd Monken,Liam Coen,,JAX00,EverBank Stadium
2026_01_ATL_PIT,2026,REG,1,2026-09-13,Sunday,13:00,ATL,,PIT,,Home,,,,2026091306,,,202609130pit,,401872658,,7,7,145,-175,3,102,-122,42.5,-115,-105,0,outdoors,grass,,,00-0036212,00-0023459,Tua Tagovailoa,Aaron Rodgers,Raheem Morris,Mike McCarthy,,PIT00,Acrisure Stadium
2026_01_NYJ_TEN,2026,REG,1,2026-09-13,Sunday,13:00,NYJ,,TEN,,Home,,,,2026091307,,,202609130oti,,401872924,,7,7,105,-125,1.5,-110,-110,39.5,-110,-110,0,outdoors,grass,,,00-0030565,00-0040676,Geno Smith,Cam Ward,Aaron Glenn,Robert Saleh,,NAS00,Nissan Stadium
2026_01_ARI_LAC,2026,REG,1,2026-09-13,Sunday,16:25,ARI,,LAC,,Home,,,,2026091308,,,202609130sdg,,401872926,,7,7,380,-500,10,-115,-105,47.5,-112,-108,0,dome,matrixturf,,,00-0033119,00-0036355,Jacoby Brissett,Justin Herbert,Jonathan Gannon,Jim Harbaugh,,LAX01,SoFi Stadium
2026_01_MIA_LV,2026,REG,1,2026-09-13,Sunday,16:25,MIA,,LV,,Home,,,,2026091309,,,202609130rai,,401872928,,7,7,154,-185,3.5,-115,-105,41.5,-118,-102,0,dome,grass,,,00-0038128,00-0029604,Malik Willis,Kirk Cousins,Jeff Hafley,Klint Kubliak,,VEG00,Allegiant Stadium
